apices,coty,leaves,flower,fruit,root
Solyc00g500310,0,0,0.0146251087162059,0,0,0
Solyc00g500311,0.0379829278727752,0,0.018928731889517,0,0.0183656487397383,0.0392149023151645
Solyc00g500312,0,0,0.0119897210565636,0,0,0
Solyc00g500313,0,0,0,0,0,0
Solyc00g500314,0,0,0,0,0,0
Solyc00g500315,0,0,0,0,0,0
Solyc00g500316,0,0,0.0571552691782569,0,0,0
Solyc00g500317,0,0,0,0,0,0
Solyc00g500318,0,0,0,0,0,0
Solyc00g012540,0,0,0,0,0,0
Solyc00g500319,0,0,0,0,0,0
Solyc00g500320,0,0,0.00543041307623182,0,0,0
Solyc00g500321,0,0,0.0186018450558047,0,0,0
Solyc00g500322,0,0,0.112924250913591,0,0,0
Solyc00g500323,0,0,0.00821243288718911,0,0,0
Solyc00g500324,0,0.104622887846984,0.0153446671364323,0,0,0
Solyc00g500325,0,0,0.0642913162826644,0,0,0
Solyc00g500326,0,0,0,0,0,0
Solyc00g500327,0,0,0,0,0,0
Solyc00g500328,0,0,0.0763566758944356,0,0,0
Solyc00g500329,0,0,0.00582925697448614,0,0,0
Solyc00g500330,0,0,0,0,0,0
Solyc00g500331,0,0,0.0210567037649805,0,0,0
Solyc00g500332,0,0,0.011905422250044,0,0,0
Solyc00g500333,0,1.42673854165467,0.145861802221779,0,0,0
Solyc00g500334,0,0,0,0,0,0
Solyc00g500335,0,0,0,0,0,0
Solyc00g500336,0,0,0,0,0,0
Solyc00g500337,0,0,0,0,0,0
Solyc00g500338,0,0,0,0,0,0
Solyc00g500339,0,0,0,0,0,0
Solyc00g500340,0,0,0,0,0,0
Solyc00g500341,0,0,0,0,0,0
Solyc00g500342,0,0,0,0,0,0
Solyc00g500343,0,0,0,0,0,0
Solyc00g500344,0,0,0,0,0,0
Solyc00g500345,0,0,0.00247697980747696,0,0.00418717546688677,0
Solyc00g500346,0,0,0,0,0,0
Solyc00g500347,0,0,0,0,0,0
Solyc00g500348,0,0,0,0,0,0
Solyc00g500349,0,0,0,0,0,0
Solyc00g500350,0,0,0,0,0,0
Solyc00g500351,0,0,0.00273968978705785,0,0,0
Solyc00g500352,0,0,0,0,0,0
Solyc00g032030,0,0,0,0,0,0
Solyc00g500353,0,0,0,0,0.022466723424256,0.168605933164458
Solyc00g076250,0,0,0,0,0,0
Solyc00g500354,0,0,0,0,0,0
Solyc00g500355,0,0,0,0,0,0
Solyc00g500356,0.0981121886402178,0,0,0,0,0
Solyc00g500357,0,0,0,0,0,0
Solyc00g500358,0,0,0,0,0,0
Solyc00g500359,0,0,0,0,0,0
Solyc00g500360,0,0,0,0,0,0
Solyc00g500361,0,0,0.51347707300257,0,0,0
Solyc00g500362,0,0,0.0697716604030306,0,0,0
Solyc00g500363,0,0,0,0,0,0
Solyc00g500364,0,0,0.00617706455094411,0,0,0
Solyc00g308530,0,0,0,0,0,0
Solyc00g284510,0,0,0,0,0,0
Solyc00g500365,0,0,0,0,0,0.134498488989575
Solyc00g500366,0,0,0,0,0,0
Solyc00g500367,0,0,0,0,0,0
Solyc00g500368,0,0,0,0,0,0
Solyc00g500369,0,0,0,0,0,0
Solyc00g500370,0,0,0,0,0,0
Solyc00g500371,0,0,0,0,0,0
Solyc00g500372,0,0,0,0,0,0
Solyc00g500373,0,0,0.0317173727691715,0,0.0104662607892189,0.111250674587598
Solyc00g500374,0,0,0,0,0,0
Solyc00g500375,0,0,0,0,0,0
Solyc00g006650,0,0,0,0,0,0
Solyc00g500376,0,0,0,0,0,0
Solyc00g500377,0,0,0,0,0,0
Solyc00g500378,0,0,0,0,0,0
Solyc00g500379,0,0,0,0,0,0
Solyc00g500380,0,0,0,0,0,0
Solyc00g500381,0,0,0,0,0,0
Solyc00g500382,0,0,0,0,0,0
Solyc00g500383,0,0,0,0,0,0
Solyc00g500384,0,0,0,0,0,0
Solyc00g500385,0,0,0,0,0,0
Solyc00g500386,0,0,0,0,0,0
Solyc00g500387,0,0,0,0,0,0
Solyc00g500388,0,0,0.00695459715176225,0,0,0
Solyc00g500389,0,0,0,0,0,0
Solyc00g500390,0,0,0,0,0,0
Solyc00g500391,0,0,0.0103002859094415,0,0,0
Solyc00g500392,0,0,0,0,0,0
Solyc00g500393,0,0,0,0,0,0
Solyc00g500394,0,0,0,0,0,0
Solyc00g500395,0,0,0,0,0,0
Solyc00g500396,0,0,0,0,0,0
Solyc00g500397,0,0,0,0,0,0
Solyc00g500398,0,0,0,0,0,0
Solyc00g500399,0,0,0,0,0,0
Solyc00g500400,0,0,0,0,0,0
Solyc00g500401,0,0,0,0,0,0
Solyc00g500402,0,0,0,0,0,0
Solyc00g500403,0,0,0,0,0,0
Solyc00g007920,0,0,0,0,0,0
Solyc00g007940,0,0,0,0,0,0
Solyc00g007930,0,0,0,0,0,0
Solyc00g500404,0,0,0.00156054835982258,0,0,0
Solyc00g500405,0,0,0.0128972310560505,0,0,0
Solyc00g500406,0,0,0,0,0,0
Solyc00g500407,0,0,0,0,0,0
Solyc00g500408,0,0,0.00421707827445795,0,0,0
Solyc00g500409,0,0,0.389485782460515,0,0,0
Solyc01g004000,0,0,0,0,0,0
Solyc01g004002,0.0300059776924666,0,0,0,0,0
Solyc01g004004,0,0,0,0,0,0
Solyc01g004006,0,0,0,0,0,0
Solyc01g004008,0,0,0,0,0,0
Solyc01g005000,20.1582543307156,14.3441431085067,8.82056901543571,30.3988861589379,25.4311817112026,14.843945443935
Solyc01g005010,22.9968764671001,34.4587911516649,11.9588233449135,7.47368771189076,5.68662963917957,11.6382346785864
